Source,Target,Type,Weight
Richmond,Ewarton,Undirected,1
Rio Bueno,Brown's Town,Undirected,1
Rio Bueno,Clark's Town,Undirected,1
Rio Bueno,Discovery Bay (Dry Harbour),Undirected,1
Rio Bueno,Duncans,Undirected,1
Rio Bueno,Falmouth,Undirected,1
Riversdale,Above Rocks,Undirected,1
Riversdale,Annotto Bay,Undirected,1
Riversdale,Bog Walk,Undirected,1
Riversdale,Constant Spring,Undirected,1
Riversdale,Ewarton,Undirected,1
Riversdale,Gayle,Undirected,1
Rocky Point,Hayes,Undirected,1
Rocky Point,Lionel Town,Undirected,1
Rocky Point,May Pen,Undirected,1
Rocky Point,Old Harbour,Undirected,1
Rocky Point,Old Harbour Bay,Undirected,1
Rocky Point,Osbourne Store,Undirected,1
Runaway Bay,Alexandria,Undirected,1
Runaway Bay,Bamboo,Undirected,1
Runaway Bay,Brown's Town,Undirected,1
Runaway Bay,Cave Valley,Undirected,1
Runaway Bay,Claremont,Undirected,1
Runaway Bay,Discovery Bay (Dry Harbour),Undirected,1
Saint Ann's Bay,Alexandria,Undirected,1
Saint Ann's Bay,Bamboo,Undirected,1
Saint Ann's Bay,Brown's Town,Undirected,1
Saint Ann's Bay,Cave Valley,Undirected,1
Saint Ann's Bay,Claremont,Undirected,1
Saint Ann's Bay,Discovery Bay (Dry Harbour),Undirected,1
Sandy Bay,Anchovy,Undirected,1
Sandy Bay,Bethel Town,Undirected,1
Sandy Bay,Cascade,Undirected,1
Sandy Bay,Frome,Undirected,1
Sandy Bay,Grange Hill,Undirected,1
Sandy Bay,Little London,Undirected,1
Sanguinetti,Alexandria,Undirected,1
Sanguinetti,Cave Valley,Undirected,1
Sanguinetti,Chapelton,Undirected,1
Sanguinetti,Christiana,Undirected,1
Sanguinetti,Coleyville,Undirected,1
Sanguinetti,Croft's Hill,Undirected,1
Santa Cruz,Balaclava,Undirected,1
Santa Cruz,Black River,Undirected,1
Santa Cruz,Brompton,Undirected,1
Santa Cruz,Lacovia,Undirected,1
Santa Cruz,Maggotty,Undirected,1
Savanna-la-Mar,Bethel Town,Undirected,1
Savanna-la-Mar,Black River,Undirected,1
Savanna-la-Mar,Bluefields,Undirected,1
Savanna-la-Mar,Brompton,Undirected,1
Savanna-la-Mar,Cambridge,Undirected,1
Savanna-la-Mar,Darliston,Undirected,1
Seaford Town,Albert Town,Undirected,1
Seaford Town,Balaclava,Undirected,1
Seaford Town,Cave Valley,Undirected,1
Seaford Town,Christiana,Undirected,1
Seaford Town,Coleyville,Undirected,1
Seaford Town,Frankfield,Undirected,1
Seaforth,Bath,Undirected,1
Seaforth,Dalvey,Undirected,1
Seaforth,Easington,Undirected,1
Seaforth,Golden Grove,Undirected,1
Siloah,Albert Town,Undirected,1
