Source,Target,Type,Weight
Discovery Bay (Dry Harbour),Bamboo,Undirected,1
Discovery Bay (Dry Harbour),Brown's Town,Undirected,1
Discovery Bay (Dry Harbour),Cave Valley,Undirected,1
Discovery Bay (Dry Harbour),Clark's Town,Undirected,1
Discovery Bay (Dry Harbour),Duncans,Undirected,1
Discovery Bay (Dry Harbour),Rio Bueno,Undirected,1
Discovery Bay (Dry Harbour),Runaway Bay,Undirected,1
Discovery Bay (Dry Harbour),Saint Ann's Bay,Undirected,1
Discovery Bay (Dry Harbour),Ulster Spring,Undirected,1
Duncans,Albert Town,Undirected,1
Duncans,Brown's Town,Undirected,1
Duncans,Clark's Town,Undirected,1
Duncans,Discovery Bay (Dry Harbour),Undirected,1
Duncans,Falmouth,Undirected,1
Duncans,Rio Bueno,Undirected,1
Duncans,Runaway Bay,Undirected,1
Duncans,Ulster Spring,Undirected,1
Duncans,Wakefield,Undirected,1
Easington,Constant Spring,Undirected,1
Easington,Gordon Town,Undirected,1
Easington,Kingston,Undirected,1
Easington,Mavis Bank,Undirected,1
Easington,Moore Town,Undirected,1
Easington,Morant Bay,Undirected,1
Easington,Seaforth,Undirected,1
Easington,Trinity Ville,Undirected,1
Easington,Yallahs,Undirected,1
Ewarton,Above Rocks,Undirected,1
Ewarton,Bog Walk,Undirected,1
Ewarton,Chapelton,Undirected,1
Ewarton,Claremont,Undirected,1
Ewarton,Croft's Hill,Undirected,1
Ewarton,Gayle,Undirected,1
Ewarton,Guy's Hill,Undirected,1
Ewarton,Kellits,Undirected,1
Ewarton,Linstead,Undirected,1
Ewarton,Lluidas Vale,Undirected,1
Ewarton,Lucky Hill,Undirected,1
Ewarton,Moneague,Undirected,1
Ewarton,Point Hill,Undirected,1
Ewarton,Richmond,Undirected,1
Ewarton,Riversdale,Undirected,1
Falmouth,Albert Town,Undirected,1
Falmouth,Clark's Town,Undirected,1
Falmouth,Duncans,Undirected,1
Falmouth,Maroon Town,Undirected,1
Falmouth,Rio Bueno,Undirected,1
Falmouth,Ulster Spring,Undirected,1
Falmouth,Wakefield,Undirected,1
Frankfield,Alexandria,Undirected,1
Frankfield,Cave Valley,Undirected,1
Frankfield,Chapelton,Undirected,1
Frankfield,Christiana,Undirected,1
