Id,Label,timeset,modularity_class,Degree,lat,long,parish,population
Kingston Gardens,Kingston Gardens,,0,5,18.024718,-76.809602,Kingston,295401
Bournemouth Gardens,Bournemouth Gardens,,0,5,17.97119,-76.761065,Kingston,295401
Rae Town,Rae Town,,0,5,18.017874,-76.809904,Kingston,295401
Allman Town,Allman Town,,0,5,17.984597,-76.787029,Kingston,295401
Manley Meadows,Manley Meadows,,0,5,17.967596,-76.768524,Kingston,295401
Franklyn Town,Franklyn Town,,0,5,17.977993,-76.77549,Kingston,295401
Norman Gardens,Norman Gardens,,0,5,17.979702,-76.758179,Kingston,295401
Fletchers Land,Fletchers Land,,0,5,17.979454,-76.791383,Kingston,295401
Hatfield,Hatfield,,4,5,18.030429,-77.536146,Manchester,9989.5
Mandeville Proper,Mandeville Proper,,4,5,18.036775,-77.505284,Manchester,9989.5
Newport,Newport,,4,5,17.92865,-77.516319,Manchester,9989.5
Knockpatrick,Knockpatrick,,4,5,17.993635,-77.507477,Manchester,9989.5
New Green,New Green,,4,5,18.05352,-77.510796,Manchester,9989.5
Royal Flat,Royal Flat,,4,5,18.056782,-77.471631,Manchester,9989.5
Part of Spaldings,Part of Spaldings,,1,5,18.15773,-77.45729,Manchester,9989.5
Central Port Antonio,Central Port Antonio,,5,5,18.171276,-76.447632,Portland,4130
Windsor Forest,Windsor Forest,,5,5,18.116477,-76.334472,Portland,4130
Norwich,Norwich,,5,5,18.19427,-76.475662,Portland,4130
Mona Heights,Mona Heights,,0,5,18.014149,-76.752409,Saint Andrew,5854.5
Seaward Pen,Seaward Pen,,0,5,18.02154,-76.820663,Saint Andrew,5854.5
Bull Bay/ Seven Mile,Bull Bay/ Seven Mile,,0,5,17.942921,-76.66726,Saint Andrew,5854.5
Delacree Park/ Union Gardens,Delacree Park/ Union Gardens,,0,5,17.989284,-76.817218,Saint Andrew,5854.5
University,University,,0,5,18.006013,-76.747103,Saint Andrew,5854.5
Harbour View,Harbour View,,0,5,17.952329,-76.719222,Saint Andrew,5854.5
Red Hills (Rural),Red Hills (Rural),,0,5,18.058326,-76.85372,Saint Andrew,5854.5
Norbrook,Norbrook,,3,5,18.055455,-76.782702,Saint Andrew,5854.5
Lawrence Tavern,Lawrence Tavern,,3,5,18.127907,-76.846409,Saint Andrew,5854.5
Delacree Pen,Delacree Pen,,0,5,17.995495,-76.818756,Saint Andrew,5854.5
