Id,Label,timeset,lat,long,parish,population,modularity_class,Weighted Degree,recovery weight,Recovery Weight,Log Recovery Weight
Bournemouth Gardens,Bournemouth Gardens,,17.97119,-76.761065,Kingston,16411.0,0,5,0.25,0.4261505,0.12063784590677645
Rae Town,Rae Town,,18.017874,-76.809904,Kingston,16411.0,0,5,0.25,0.4261505,0.12063784590677645
Allman Town,Allman Town,,17.984597,-76.787029,Kingston,16411.0,0,5,0.25,0.4261505,0.12063784590677645
Manley Meadows,Manley Meadows,,17.967596,-76.768524,Kingston,16411.0,0,5,0.25,0.4261505,0.12063784590677645
Franklyn Town,Franklyn Town,,17.977992999999998,-76.77549,Kingston,16411.0,0,5,0.25,0.4261505,0.12063784590677645
Norman Gardens,Norman Gardens,,17.979702,-76.758179,Kingston,16411.0,0,5,0.25,0.4261505,0.12063784590677645
Fletchers Land,Fletchers Land,,17.979454,-76.791383,Kingston,16411.0,0,5,0.25,0.4261505,0.12063784590677645
Hatfield,Hatfield,,18.030429,-77.536146,Manchester,9989.5,3,5,0.25,0.45504725,0.14004106239006925
Mandeville Proper,Mandeville Proper,,18.036775,-77.505284,Manchester,9989.5,3,5,0.25,0.45504725,0.14004106239006925
Newport,Newport,,17.92865,-77.516319,Manchester,9989.5,3,5,0.25,0.45504725,0.14004106239006925
Knockpatrick,Knockpatrick,,17.993635,-77.50747700000001,Manchester,9989.5,3,5,0.25,0.45504725,0.14004106239006925
New Green,New Green,,18.053520000000002,-77.510796,Manchester,9989.5,3,5,0.25,0.45504725,0.14004106239006925
Royal Flat,Royal Flat,,18.056782000000002,-77.471631,Manchester,9989.5,3,5,0.25,0.45504725,0.14004106239006925
Part of Spaldings,Part of Spaldings,,18.157729999999997,-77.45729,Manchester,9989.5,5,5,0.25,0.45504725,0.14004106239006925
Central Port Antonio,Central Port Antonio,,18.171276000000002,-76.447632,Portland,4130.0,4,5,0.25,0.481415,0.1745644953509239
Windsor Forest,Windsor Forest,,18.116477,-76.33447199999999,Portland,4130.0,4,5,0.25,0.481415,0.1745644953509239
Norwich,Norwich,,18.19427,-76.475662,Portland,4130.0,4,5,0.25,0.481415,0.1745644953509239
Mona Heights,Mona Heights,,18.014149,-76.752409,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Seaward Pen,Seaward Pen,,18.021539999999998,-76.820663,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Bull Bay/ Seven Mile,Bull Bay/ Seven Mile,,17.942921,-76.66726,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Delacree Park/ Union Gardens,Delacree Park/ Union Gardens,,17.989284,-76.81721800000001,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
University,University,,18.006013,-76.74710300000001,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Harbour View,Harbour View,,17.952329000000002,-76.719222,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Red Hills (Rural),Red Hills (Rural),,18.058326,-76.85372,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Norbrook,Norbrook,,18.055455,-76.782702,Saint Andrew,5854.5,1,5,0.25,0.47365475,0.16092591706967635
Lawrence Tavern,Lawrence Tavern,,18.127907,-76.846409,Saint Andrew,5854.5,1,5,0.25,0.47365475,0.16092591706967635
Delacree Pen,Delacree Pen,,17.995495000000002,-76.81875600000001,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Greenwich Town/ Newport West,Greenwich Town/ Newport West,,17.967570000000002,-76.804737,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Tower Hill,Tower Hill,,18.010439,-76.829911,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Trench Town,Trench Town,,17.985789999999998,-76.804335,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Waterhouse,Waterhouse,,18.028568,-76.843746,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Grants Pen,Grants Pen,,18.031638,-76.790952,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Whitehall,Whitehall,,18.038067,-76.809234,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Havendale,Havendale,,18.051639,-76.81154599999999,Saint Andrew,5854.5,1,5,0.25,0.47365475,0.16092591706967635
Barbican,Barbican,,18.025612,-76.771163,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Cavaliers,Cavaliers,,18.094858,-76.835327,Saint Andrew,5854.5,1,5,0.25,0.47365475,0.16092591706967635
Roehampton,Roehampton,,18.042897,-76.80758,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Cross Roads,Cross Roads,,17.992832,-76.790635,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Pembroke Hall,Pembroke Hall,,18.029593,-76.828849,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Kencot,Kencot,,18.002619,-76.795682,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Vineyard Town,Vineyard Town,,17.989808,-76.778375,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Hope Tavern,Hope Tavern,,18.014585999999998,-76.740749,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Drewsland,Drewsland,,18.024075,-76.830252,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Beverley Hills,Beverley Hills,,18.007787,-76.765392,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Patrick City,Patrick City,,18.031741,-76.838941,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
