Lat,Long,Name,Parish,Population
17.94798,-76.9095647,Greater Portmore,Saint Catherine,
18.1057667,-77.0075055,Bogwalk,Saint Catherine,
18.0028446,-76.9686267,Hampton Green,Saint Catherine,
18.0933984,-76.9756667,Sligoville,Saint Catherine,
17.9962367,-76.9451717,Greendale,Saint Catherine,
18.0119455,-76.9635859,Ensom,Saint Catherine,
17.9680932,-76.8850673,Naggo Head,Saint Catherine,
17.995106,-76.9830277,Willowdene,Saint Catherine,
18.022518,-76.9784273,Golden Acres,Saint Catherine,
17.9618897,-76.8793025,Bridgeport,Saint Catherine,
17.9986932,-76.8865085,Gregory Park,Saint Catherine,
17.9803179,-76.9989257,Old Harbour Road,Saint Catherine,
18.000664,-76.9153281,Central Village,Saint Catherine,
18.0181476,-77.0523088,Kitson Town,Saint Catherine,
17.9874402,-76.8706548,Waterford,Saint Catherine,
18.0185131,-76.9427006,Keystone,Saint Catherine,
18.005143,-76.966906,St. John's East,Saint Catherine,
18.2089665,-76.922532,Troja,Saint Catherine,
18.0087965,-77.0036797,Crescent,Saint Catherine,
18.0044324,-77.0348573,St. John's West,Saint Catherine,
17.9766103,-76.8821849,Cumberland,Saint Catherine,
17.9812357,-76.8648893,Passage Fort,Saint Catherine,
17.9642027,-76.8706548,Edgewater,Saint Catherine,
17.9821476,-76.881187,Independence City,Saint Catherine,
18.1418524,-76.887229,Glengoffe,Saint Catherine,
17.8817491,-77.7595131,Treasure Beach,Saint Elizabeth,
17.9370657,-77.7137306,Bigwoods,Saint Elizabeth,
18.1734634,-77.7253532,Thornton,Saint Elizabeth,
18.0466563,-77.7881176,Slipe,Saint Elizabeth,
17.9313337,-77.6469553,Rose Hall,Saint Elizabeth,
17.899982,-77.604711,Junction,Saint Elizabeth,
18.2044462,-77.8796168,Pisgah,Saint Elizabeth,
18.0802709,-77.647368,Braes River,Saint Elizabeth,
18.0788461,-77.6994197,Goshen,Saint Elizabeth,
17.8972222,-77.6130556,Ballards  Valley,Saint Elizabeth,
17.8917176,-77.7283314,Pedro Plains,Saint Elizabeth,
17.9357048,-77.7609435,Watchwell,Saint Elizabeth,
18.0183488,-77.6901197,Leeds,Saint Elizabeth,
18.1114085,-77.8608464,Giddy Hall,Saint Elizabeth,
18.050308,-77.6407258,Pepper,Saint Elizabeth,
18.1020181,-77.8338693,Middle Quarters,Saint Elizabeth,
17.8925784,-77.6375416,Top Hill,Saint Elizabeth,
17.9416421,-77.5805844,Lititz,Saint Elizabeth,
17.8846183,-77.5950623,Bull Savannah,Saint Elizabeth,
18.198852,-77.7080064,Aberdeen,Saint Elizabeth,
17.9274272,-77.6296772,Red Bank,Saint Elizabeth,
18.0656203,-77.7578542,Holland,Saint Elizabeth,
42.3058807,-71.1169652,Brighton,Saint Elizabeth,
17.995202,-76.925897,Hopeton,Saint Elizabeth,
42.3052107,-71.1087288,Newton,Saint Elizabeth,
18.4608841,-77.9253025,West Green,Saint James,
18.4612361,-77.9217448,Catherine Hall,Saint James,
18.4762228,-77.8938895,Rose Heights,Saint James,
18.4762228,-77.8938895,Down Town Montego Bay,Saint James,
18.4757728,-77.9110318,Brandon Hill,Saint James,
18.4801229,-77.9227906,Orange,Saint James,
18.4458592,-77.8981754,Granville,Saint James,
18.4414959,-77.9238557,Bogue,Saint James,
18.4420027,-77.8961572,Pitfour,Saint James,
18.4925672,-77.90276,Norwood,Saint James,
18.4668374,-77.9067467,Mount Salem,Saint James,
18.4821645,-77.918174,Albion,Saint James,
18.5042233,-77.8981754,Flankers,Saint James,
18.4480705,-77.9781477,Unity Hall,Saint James,
18.4224063,-77.7652602,Dumfries,Saint James,
18.4195715,-77.8524505,John's Hall,Saint James,
18.279485,-77.8738864,Catadupa,Saint James,
18.4298978,-77.7881214,Somerton,Saint James,
18.468336,-77.8960325,Rose Mount Garden,Saint James,
18.5097282,-77.8016484,Barrett Town,Saint James,
18.4760043,-77.9220316,Paradise,Saint James,
18.5123897,-77.7766767,Lilliput,Saint James,
18.4715802,-77.8728147,Green Pond,Saint James,
18.480285,-77.9003183,Glendevon,Saint James,
18.3738111,-77.843416,Welcome Hall,Saint James,
18.4736196,-77.8874603,Farm Heights,Saint James,
18.4618333,-77.9188312,Maldon,Saint James,
18.4394717,-77.8896034,Retirement,Saint James,
18.4623962,-77.8810609,Porto Bello,Saint James,
18.3460785,-77.8203785,Tangle River,Saint James,
18.4948209,-77.8487295,Flower Hill,Saint James,
18.4792351,-77.8988197,Salt Spring,Saint James,
18.4743752,-77.8988419,Rosemount,Saint James,
18.2795826,-77.8332263,Niagara,Saint James,
18.5101818,-77.8638067,Coral Gardens,Saint James,
18.4507129,-77.886892,Tucker,Saint James,
18.5073962,-77.8967369,Ironshore,Saint James,
18.448151,-77.79126,Adelphi,Saint James,
18.3628964,-77.9238872,Montpelier,Saint James,
18.5172806,-77.838917,Summer Hill,Saint James,
18.386785,-77.9324565,Mount Carey,Saint James,
18.4400403,-77.9438811,Reading,Saint James,
18.4620512,-77.9179301,Irwin,Saint James,
18.496956,-77.7938111,Spot Valley,Saint James,
18.4643269,-77.9017468,Catherine Mount,Saint James,
18.474764,-77.917934,Friendship,Saint James,
18.4897618,-77.8888891,Montego Hill,Saint James,
18.3252469,-77.8221407,Flamstead,Saint James,
18.412888,-77.861743,Tower Hill/Moy Hall,Saint James,
18.2015068,-76.8252443,Castleton,Saint Mary,
18.4047296,-76.893714,Galina,Saint Mary,
18.2326288,-76.741464,Enfield,Saint Mary,
18.2499757,-76.9902276,Guys Hill,Saint Mary,
18.2838807,-76.8706548,Martin,Saint Mary,
18.2491146,-76.7266503,Epson,Saint Mary,
18.3515252,-76.9060389,Baileys Vale,Saint Mary,
18.2423023,-76.8500838,Clonmel,Saint Mary,
17.9374168,-76.5054652,Font Hill,Saint Thomas,
17.9215181,-76.2609463,Duckenfield,Saint Thomas,
17.886246,-76.4172594,Church Corner,Saint Thomas,
17.8961425,-76.331889,Port Morant,Saint Thomas,
17.881546,-76.4534165,White Horses,Saint Thomas,
17.8750969,-76.3734985,Retreat,Saint Thomas,
18.408328,-77.856936,Wilmington,Saint Thomas,
17.8928056,-76.2844079,Barking Lodge,Saint Thomas,
17.9558605,-76.2497224,Amity Hall,Saint Thomas,
18.4944908,-77.7037131,Salt Marsh,Trelawny,
18.4518582,-77.7085247,Bounty Hall,Trelawny,
18.4153066,-77.5418791,Clarks Town,Trelawny,
18.370508,-77.609482,Deeside,Trelawny,
18.1925,-76.9225,Bunkers Hill,Trelawny,
18.3357781,-77.514272,Alps,Trelawny,
18.4056917,-77.5948946,Duanvale,Trelawny,
18.4034226,-77.560509,Kinloss,Trelawny,
18.4704799,-77.6600552,Martha Brae,Trelawny,
18.3907938,-77.627018,Sherwood Content,Trelawny,
18.371811,-77.608795,Samuels Prospect,Trelawny,
18.4567641,-77.6178125,Daniel Town,Trelawny,
18.4126718,-77.4802353,Jackson Town,Trelawny,
18.4585086,-77.5449371,Spicy Hill,Trelawny,
18.4401333,-77.7452445,Hampden,Trelawny,
18.2633333,-77.9897222,Orange Hill,Westmoreland,
18.3269589,-78.2305758,Jerusalem,Westmoreland,
18.3166667,-78.1,Burnt Savannah,Westmoreland,
18.2925319,-78.0216792,Haddo,Westmoreland,
18.2259951,-78.1308761,Savannah-la-mar Business Dist.,Westmoreland,
18.2218772,-78.1077967,Smithfield,Westmoreland,
18.2789542,-78.1421905,Georges Plain,Westmoreland,
18.3055556,-78.0658333,Fort Williams,Westmoreland,
18.2850216,-78.2528652,Paul Island,Westmoreland,
18.3194548,-78.1396496,Town Head,Westmoreland,
18.2582307,-78.0908651,Hertford,Westmoreland,
18.2775801,-78.3045768,Shefield,Westmoreland,
18.3089722,-78.1504116,Truro,Westmoreland,
18.305557,-78.156917,Strathbogie,Westmoreland,
18.2294946,-78.141656,Llandilo,Westmoreland,
18.2071384,-78.043795,Cave,Westmoreland,
18.2512137,-78.3284919,Mount Airy,Westmoreland,
18.2753015,-78.2377205,Delveland,Westmoreland,
18.312728,-78.155544,Mackfield,Westmoreland,
18.31338,-78.158977,Gooden's River,Westmoreland,
18.312728,-78.154857,Chantilly,Westmoreland,
18.2798539,-78.0288139,Whithorn,Westmoreland,
18.2273009,-78.2251136,Broughton,Westmoreland,
18.0943972,-77.9667267,Whitehouse,Westmoreland,
18.2983206,-77.9951656,Mount Stewart,Westmoreland,
18.2281151,-78.1354871,Seaton Crescent,Westmoreland,
18.2598908,-78.1358174,Three Mile River,Westmoreland,
18.2914145,-77.9888917,Cornwall Mountian,Westmoreland,
18.2871307,-78.1990099,Fullersfield,Westmoreland,
