Source,Target,Type,Weight,Latitude,Longitude,Parish,Population
Guy's Hill,Above Rocks,Undirected,1,18.25,77,Saint Mary,"3,165"
Guy's Hill,Annotto Bay,Undirected,1,18.25,77,Saint Mary,"3,165"
Hayes,Chapelton,Undirected,1,17.88,77.25,Clarendon,"8,447"
Hayes,Lionel Town,Undirected,1,17.88,77.25,Clarendon,"8,447"
Hayes,May Pen,Undirected,1,17.88,77.25,Clarendon,"8,447"
Hayes,Old Harbour,Undirected,1,17.88,77.25,Clarendon,"8,447"
Highgate,Above Rocks,Undirected,1,18.32,76.87,Saint Mary,"5,418"
Highgate,Annotto Bay,Undirected,1,18.32,76.87,Saint Mary,"5,418"
Highgate,Buff Bay,Undirected,1,18.32,76.87,Saint Mary,"5,418"
Hope Bay,Annotto Bay,Undirected,1,18.2,76.57,Portland,"1,569"
Hope Bay,Buff Bay,Undirected,1,18.2,76.57,Portland,"1,569"
Hope Bay,Gordon Town,Undirected,1,18.2,76.57,Portland,"1,569"
Hope Bay,Mavis Bank,Undirected,1,18.2,76.57,Portland,"1,569"
Hope Bay,Moore Town,Undirected,1,18.2,76.57,Portland,"1,569"
Hopewell,Frome,Undirected,1,18.25,78.3,Hanover,"4,268"
Hopewell,Grange Hill,Undirected,1,18.25,78.3,Hanover,"4,268"
Hopewell,Little London,Undirected,1,18.25,78.3,Hanover,"4,268"
Hopewell,Lucea,Undirected,1,18.25,78.3,Hanover,"4,268"
Islington,Above Rocks,Undirected,1,18.32,76.85,Saint Mary,"2,868"
Islington,Annotto Bay,Undirected,1,18.32,76.85,Saint Mary,"2,868"
Islington,Buff Bay,Undirected,1,18.32,76.85,Saint Mary,"2,868"
Islington,Gayle,Undirected,1,18.32,76.85,Saint Mary,"2,868"
Kellits,Alexandria,Undirected,1,18.17,77.23,Clarendon,"2,291"
Kellits,Bamboo,Undirected,1,18.17,77.23,Clarendon,"2,291"
Kellits,Bog Walk,Undirected,1,18.17,77.23,Clarendon,"2,291"
Kellits,Cave Valley,Undirected,1,18.17,77.23,Clarendon,"2,291"
Kellits,Chapelton,Undirected,1,18.17,77.23,Clarendon,"2,291"
Kingston,Above Rocks,Undirected,1,17.9833,76.8,Kingston / St. Andrew,"587,798"
Kingston,Constant Spring,Undirected,1,17.9833,76.8,Kingston / St. Andrew,"587,798"
Kingston,Easington,Undirected,1,17.9833,76.8,Kingston / St. Andrew,"587,798"
Kingston,Gordon Town,Undirected,1,17.9833,76.8,Kingston / St. Andrew,"587,798"
Lacovia,Balaclava,Undirected,1,18.07,77.75,Saint Elizabeth,"3,159"
Lacovia,Black River,Undirected,1,18.07,77.75,Saint Elizabeth,"3,159"
Lacovia,Brompton,Undirected,1,18.07,77.75,Saint Elizabeth,"3,159"
Linstead,Above Rocks,Undirected,1,18.15,77.02,Saint Catherine,"14,114"
Linstead,Bog Walk,Undirected,1,18.15,77.02,Saint Catherine,"14,114"
Linstead,Croft's Hill,Undirected,1,18.15,77.02,Saint Catherine,"14,114"
Linstead,Ewarton,Undirected,1,18.15,77.02,Saint Catherine,"14,114"
Linstead,Gayle,Undirected,1,18.15,77.02,Saint Catherine,"14,114"
Lionel Town,Hayes,Undirected,1,17.8,77.23,Clarendon,"4,669"
Lionel Town,May Pen,Undirected,1,17.8,77.23,Clarendon,"4,669"
Lionel Town,Old Harbour,Undirected,1,17.8,77.23,Clarendon,"4,669"
Lionel Town,Old Harbour Bay,Undirected,1,17.8,77.23,Clarendon,"4,669"
Little London,Bluefields,Undirected,1,18.3,78.2,Westmoreland,"1,848"
Little London,Cascade,Undirected,1,18.3,78.2,Westmoreland,"1,848"
Little London,Frome,Undirected,1,18.3,78.2,Westmoreland,"1,848"
Lluidas Vale,Bog Walk,Undirected,1,18.12,77.15,Saint Catherine,"2,161"
Lluidas Vale,Chapelton,Undirected,1,18.12,77.15,Saint Catherine,"2,161"
Lluidas Vale,Croft's Hill,Undirected,1,18.12,77.15,Saint Catherine,"2,161"
Lluidas Vale,Ewarton,Undirected,1,18.12,77.15,Saint Catherine,"2,161"
Lluidas Vale,Frankfield,Undirected,1,18.12,77.15,Saint Catherine,"2,161"
Lucea,Cascade,Undirected,1,18.44,78.18,Hanover,"6,002"
Lucea,Frome,Undirected,1,18.44,78.18,Hanover,"6,002"
Lucea,Grange Hill,Undirected,1,18.44,78.18,Hanover,"6,002"
Lucea,Hopewell,Undirected,1,18.44,78.18,Hanover,"6,002"
Lucky Hill,Bog Walk,Undirected,1,18.3,77.02,Saint Mary,750
Lucky Hill,Claremont,Undirected,1,18.3,77.02,Saint Mary,750
Lucky Hill,Ewarton,Undirected,1,18.3,77.02,Saint Mary,750
Lucky Hill,Gayle,Undirected,1,18.3,77.02,Saint Mary,750
Lucky Hill,Guy's Hill,Undirected,1,18.3,77.02,Saint Mary,750
Maggotty,Balaclava,Undirected,1,18.15,77.77,Saint Elizabeth,"1,359"
Maggotty,Black River,Undirected,1,18.15,77.77,Saint Elizabeth,"1,359"
Maggotty,Brompton,Undirected,1,18.15,77.77,Saint Elizabeth,"1,359"
Maggotty,Cambridge,Undirected,1,18.15,77.77,Saint Elizabeth,"1,359"
Malvern,Alligator Pond,Undirected,1,17.97,77.72,Saint Elizabeth,"3,262"
Malvern,Balaclava,Undirected,1,17.97,77.72,Saint Elizabeth,"3,262"
Manchioneal,Bath,Undirected,1,18.05,76.28,Portland,"2,185"
Manchioneal,Dalvey,Undirected,1,18.05,76.28,Portland,"2,185"
Mandeville,Alligator Pond,Undirected,1,18.05,77.48,Manchester,"39,945"
Mandeville,Balaclava,Undirected,1,18.05,77.48,Manchester,"39,945"
Mandeville,Bull Savanna,Undirected,1,18.05,77.48,Manchester,"39,945"
Maroon Town,Anchovy,Undirected,1,18.35,77.79,Saint James,"2,669"
Maroon Town,Balaclava,Undirected,1,18.35,77.79,Saint James,"2,669"
Maroon Town,Bethel Town,Undirected,1,18.35,77.79,Saint James,"2,669"
Mavis Bank,Above Rocks,Undirected,1,18.02,76.67,Saint Andrew,"1,756"
Mavis Bank,Buff Bay,Undirected,1,18.02,76.67,Saint Andrew,"1,756"
Mavis Bank,Constant Spring,Undirected,1,18.02,76.67,Saint Andrew,"1,756"
May Pen,Chapelton,Undirected,1,17.97,77.24,Clarendon,"45,903"
May Pen,Croft's Hill,Undirected,1,17.97,77.24,Clarendon,"45,903"
May Pen,Frankfield,Undirected,1,17.97,77.24,Clarendon,"45,903"
Moneague,Bamboo,Undirected,1,18.28,77.1,Saint Ann,"2,880"
Moneague,Bog Walk,Undirected,1,18.28,77.1,Saint Ann,"2,880"
Moneague,Claremont,Undirected,1,18.28,77.1,Saint Ann,"2,880"
Moneague,Croft's Hill,Undirected,1,18.28,77.1,Saint Ann,"2,880"
Moneague,Ewarton,Undirected,1,18.28,77.1,Saint Ann,"2,880"
Montego Bay,Anchovy,Undirected,1,18.4666,77.9166,Saint James,"96,488"
Montego Bay,Bethel Town,Undirected,1,18.4666,77.9166,Saint James,"96,488"
Montego Bay,Cambridge,Undirected,1,18.4666,77.9166,Saint James,"96,488"
Montego Bay,Cascade,Undirected,1,18.4666,77.9166,Saint James,"96,488"
Montego Bay,Maroon Town,Undirected,1,18.4666,77.9166,Saint James,"96,488"
Moore Town,Bath,Undirected,1,18.07,76.43,Portland,"1,054"
Moore Town,Easington,Undirected,1,18.07,76.43,Portland,"1,054"
Morant Bay,Bath,Undirected,1,17.87,76.39,Saint Thomas,"9,602"
Morant Bay,Dalvey,Undirected,1,17.87,76.39,Saint Thomas,"9,602"
Morant Bay,Easington,Undirected,1,17.87,76.39,Saint Thomas,"9,602"
Nain,Alligator Pond,Undirected,1,17.97,77.6,Saint Elizabeth,"2,373"
Nain,Balaclava,Undirected,1,17.97,77.6,Saint Elizabeth,"2,373"
Nain,Bull Savanna,Undirected,1,17.97,77.6,Saint Elizabeth,"2,373"
Negril,Frome,Undirected,1,18.32,78.33,Westmoreland,"4,184"
Negril,Grange Hill,Undirected,1,18.32,78.33,Westmoreland,"4,184"
Negril,Hopewell,Undirected,1,18.32,78.33,Westmoreland,"4,184"
Negril,Little London,Undirected,1,18.32,78.33,Westmoreland,"4,184"
Negril,Lucea,Undirected,1,18.32,78.33,Westmoreland,"4,184"
Ocho Rios,Bamboo,Undirected,1,18.42,77.11,Saint Ann,"8,189"
Ocho Rios,Claremont,Undirected,1,18.42,77.11,Saint Ann,"8,189"
Ocho Rios,Gayle,Undirected,1,18.42,77.11,Saint Ann,"8,189"
Ocho Rios,Guy's Hill,Undirected,1,18.42,77.11,Saint Ann,"8,189"
Ocho Rios,Lucky Hill,Undirected,1,18.42,77.11,Saint Ann,"8,189"
Old Harbour,Bog Walk,Undirected,1,17.92,77.1,Saint Catherine,"17,778"
Old Harbour,Hayes,Undirected,1,17.92,77.1,Saint Catherine,"17,778"
Old Harbour,Lionel Town,Undirected,1,17.92,77.1,Saint Catherine,"17,778"
Old Harbour Bay,Bog Walk,Undirected,1,17.9,77.1,Saint Catherine,"5,405"
Old Harbour Bay,Hayes,Undirected,1,17.9,77.1,Saint Catherine,"5,405"
Old Harbour Bay,Lionel Town,Undirected,1,17.9,77.1,Saint Catherine,"5,405"
Old Harbour Bay,Lluidas Vale,Undirected,1,17.9,77.1,Saint Catherine,"5,405"
Oracabessa,Gayle,Undirected,1,18.47,76.93,Saint Mary,"4,066"
Oracabessa,Highgate,Undirected,1,18.47,76.93,Saint Mary,"4,066"
Oracabessa,Islington,Undirected,1,18.47,76.93,Saint Mary,"4,066"
Oracabessa,Lucky Hill,Undirected,1,18.47,76.93,Saint Mary,"4,066"
Oracabessa,Ocho Rios,Undirected,1,18.47,76.93,Saint Mary,"4,066"
Osbourne Store,Chapelton,Undirected,1,17.97,77.33,Clarendon,"3,390"
