Id,Label,timeset
Burnt Savannah,Burnt Savannah,
Haddo,Haddo,
Savannah-la-mar Business Dist.,Savannah-la-mar Business Dist.,
Smithfield,Smithfield,
Georges Plain,Georges Plain,
Fort Williams,Fort Williams,
Paul Island,Paul Island,
Town Head,Town Head,
Hertford,Hertford,
Shefield,Shefield,
Truro,Truro,
Strathbogie,Strathbogie,
Llandilo,Llandilo,
Cave,Cave,
Mount Airy,Mount Airy,
Delveland,Delveland,
Mackfield,Mackfield,
Gooden's River,Gooden's River,
Chantilly,Chantilly,
Whithorn,Whithorn,
Broughton,Broughton,
Whitehouse,Whitehouse,
Mount Stewart,Mount Stewart,
Seaton Crescent,Seaton Crescent,
Three Mile River,Three Mile River,
Cornwall Mountian,Cornwall Mountian,
Fullersfield,Fullersfield,
