Id,Label,timeset,lat,long,parish,population,modularity_class,Degree
Passmore Town,Passmore Town,,17.96968,-76.78126,Kingston,,4,105
Rollington Town,Rollington Town,,17.977595,-76.76972,Kingston,,4,5
Logwood,Logwood,,18.344818,-78.297987,Hanover,,5,46
Cacoon,Cacoon,,18.40883,-78.202591,Hanover,,5,50
Orange Bay,Orange Bay,,18.369958,-78.314518,Hanover,,5,37
Kingsvale,Kingsvale,,18.386414,-78.203463,Hanover,,5,48
Dias,Dias,,18.398245,-78.194203,Hanover,,5,29
Jericho,Jericho,,18.429078,-78.129345,Hanover,,5,35
Ramble,Ramble,,18.350996,-77.977434,Hanover,,5,87
Rock Spring,Rock Spring,,18.409796,-78.133592,Hanover,,5,24
Lucea West,Lucea West,,18.450419,-78.176394,Hanover,,5,6
Askenish,Askenish,,18.384,-78.150467,Hanover,,5,12
Lucea East,Lucea East,,18.450419,-78.176394,Hanover,,5,5
Lances Bay,Lances Bay,,18.445113,-78.219844,Hanover,,5,5
Great Valley,Great Valley,,18.396561,-78.075392,Hanover,,5,44
Cousins Cove,Cousins Cove,,18.423351,-78.245479,Hanover,,5,5
Success,Success,,18.365076,-78.047067,Hanover,,5,42
Santoy,Santoy,,18.356514,-78.286054,Hanover,,5,5
Cauldwell,Cauldwell,,18.389526,-78.244952,Hanover,,5,5
Mount Peto,Mount Peto,,18.344065,-78.017178,Hanover,,5,34
Maryland,Maryland,,18.387556,-78.129812,Hanover,,5,5
Cacoon Castle,Cacoon Castle,,18.428237,-78.131552,Hanover,,5,5
Chester Castle,Chester Castle,,18.321366,-77.970296,Hanover,,5,30
Haddington,Haddington,,18.409771,-78.133638,Hanover,,5,5
Pondside,Pondside,,18.396561,-78.075392,Hanover,,5,5
March Town,March Town,,18.34504,-78.277597,Hanover,,5,5
D'Aguilar Town/ Rennock Lodge,D'Aguilar Town/ Rennock Lodge,,17.999862,-76.817184,Kingston,,4,8
West Down Town,West Down Town,,17.968725,-76.788471,Kingston,,4,5
Tivoli Gardens,Tivoli Gardens,,17.974651,-76.80073,Kingston,,4,5
Newton Square,Newton Square,,17.95984,-76.87722,Kingston,,4,6
Kingston Gardens,Kingston Gardens,,18.024718,-76.809602,Kingston,,4,11
Bournemouth Gardens,Bournemouth Gardens,,17.97119,-76.761065,Kingston,,4,5
Rae Town,Rae Town,,18.017874,-76.809904,Kingston,,4,9
Allman Town,Allman Town,,17.984597,-76.787029,Kingston,,4,5
Manley Meadows,Manley Meadows,,17.967596,-76.768524,Kingston,,4,5
Franklyn Town,Franklyn Town,,17.977993,-76.77549,Kingston,,4,5
Norman Gardens,Norman Gardens,,17.979702,-76.758179,Kingston,,4,5
Fletchers Land,Fletchers Land,,17.979454,-76.791383,Kingston,,4,5
Hatfield,Hatfield,,18.030429,-77.536146,Manchester,,6,24
Mandeville Proper,Mandeville Proper,,18.036775,-77.505284,Manchester,,6,22
Newport,Newport,,17.92865,-77.516319,Manchester,,6,19
Knockpatrick,Knockpatrick,,17.993635,-77.507477,Manchester,,6,18
New Green,New Green,,18.05352,-77.510796,Manchester,,6,13
Royal Flat,Royal Flat,,18.056782,-77.471631,Manchester,,6,6
Part of Spaldings,Part of Spaldings,,18.15773,-77.45729,Manchester,,6,7
Snow Hill,Snow Hill,,18.200444,-76.500406,Portland,,9,8
Central Port Antonio,Central Port Antonio,,18.171276,-76.447632,Portland,,9,6
Windsor Forest,Windsor Forest,,18.116477,-76.334472,Portland,,9,8
Norwich,Norwich,,18.19427,-76.475662,Portland,,9,5
Epson,Epson,,18.249115,-76.72665,Saint Mary,,4,5
Mona Heights,Mona Heights,,18.014149,-76.752409,Saint Andrew,,4,6
Seaward Pen,Seaward Pen,,18.02154,-76.820663,Saint Andrew,,4,7
Bull Bay/ Seven Mile,Bull Bay/ Seven Mile,,17.942921,-76.66726,Saint Andrew,,9,7
Delacree Park/ Union Gardens,Delacree Park/ Union Gardens,,17.989284,-76.817218,Saint Andrew,,4,5
University,University,,18.006013,-76.747103,Saint Andrew,,4,5
Harbour View,Harbour View,,17.952329,-76.719222,Saint Andrew,,9,6
Red Hills (Rural),Red Hills (Rural),,18.058326,-76.85372,Saint Andrew,,4,6
Norbrook,Norbrook,,18.055455,-76.782702,Saint Andrew,,4,7
Lawrence Tavern,Lawrence Tavern,,18.127907,-76.846409,Saint Andrew,,4,8
Delacree Pen,Delacree Pen,,17.995495,-76.818756,Saint Andrew,,4,5
Greenwich Town/ Newport West,Greenwich Town/ Newport West,,17.96757,-76.804737,Saint Andrew,,4,5
Tower Hill,Tower Hill,,18.010439,-76.829911,Saint Andrew,,4,5
Trench Town,Trench Town,,17.98579,-76.804335,Saint Andrew,,4,5
Waterhouse,Waterhouse,,18.028568,-76.843746,Saint Andrew,,4,5
Grants Pen,Grants Pen,,18.031638,-76.790952,Saint Andrew,,4,5
Whitehall,Whitehall,,18.038067,-76.809234,Saint Andrew,,4,6
Havendale,Havendale,,18.051639,-76.811546,Saint Andrew,,4,5
Barbican,Barbican,,18.025612,-76.771163,Saint Andrew,,4,5
Cavaliers,Cavaliers,,18.094858,-76.835327,Saint Andrew,,4,7
Roehampton,Roehampton,,18.042897,-76.80758,Saint Andrew,,4,5
Cross Roads,Cross Roads,,17.992832,-76.790635,Saint Andrew,,4,5
Pembroke Hall,Pembroke Hall,,18.029593,-76.828849,Saint Andrew,,4,5
Kencot,Kencot,,18.002619,-76.795682,Saint Andrew,,4,5
Vineyard Town,Vineyard Town,,17.989808,-76.778375,Saint Andrew,,4,5
Hope Tavern,Hope Tavern,,18.014586,-76.740749,Saint Andrew,,4,5
Drewsland,Drewsland,,18.024075,-76.830252,Saint Andrew,,4,5
Beverley Hills,Beverley Hills,,18.007787,-76.765392,Saint Andrew,,4,5
Patrick City,Patrick City,,18.031741,-76.838941,Saint Andrew,,4,5
Liguanea,Liguanea,,18.014748,-76.761065,Saint Andrew,,4,5
Hermitage,Hermitage,,17.993966,-76.743099,Saint Andrew,,4,5
Kintyre,Kintyre,,18.012346,-76.737282,Saint Andrew,,4,5
Cassia Park,Cassia Park,,18.020288,-76.807942,Saint Andrew,,4,5
Three Oaks/ Glendale,Three Oaks/ Glendale,,18.030895,-76.825648,Saint Andrew,,4,5
Whitfield Town,Whitfield Town,,17.994701,-76.80722,Saint Andrew,,4,5
Cherry Gardens,Cherry Gardens,,18.043437,-76.776932,Saint Andrew,,4,5
Half-Way-Tree,Half-Way-Tree,,18.00231,-76.792093,Saint Andrew,,4,5
Boucher Park,Boucher Park,,18.062488,-76.758457,Saint Andrew,,4,5
Molynes Four Roads,Molynes Four Roads,,18.012709,-76.801669,Saint Andrew,,4,5
Hope Pastures/ UTECH,Hope Pastures/ UTECH,,18.018682,-76.744474,Saint Andrew,,4,5
Eastwood Park Gardens,Eastwood Park Gardens,,18.015456,-76.798445,Saint Andrew,,4,5
August Town,August Town,,17.993023,-76.740867,Saint Andrew,,4,5
Golden Spring,Golden Spring,,18.09016,-76.801451,Saint Andrew,,4,6
Cockburn Gardens,Cockburn Gardens,,18.011768,-76.823082,Saint Andrew,,4,5
Molynes Gardens,Molynes Gardens,,18.034608,-76.817314,Saint Andrew,,4,5
Duhaney Park,Duhaney Park,,18.029629,-76.850474,Saint Andrew,,4,5
Oaklands,Oaklands,,18.035682,-76.796043,Saint Andrew,,4,5
Hughenden,Hughenden,,18.031415,-76.818395,Saint Andrew,,4,5
Marverley,Marverley,,18.014311,-76.809026,Saint Andrew,,4,5
Richmond Park,Richmond Park,,18.005164,-76.811546,Saint Andrew,,4,5
Forest Hills/ Plantation Height,Forest Hills/ Plantation Height,,18.041663,-76.856527,Saint Andrew,,4,5
Jones Town,Jones Town,,17.986069,-76.797846,Saint Andrew,,4,5
Arlene Gardens,Arlene Gardens,,18.036973,-76.824646,Saint Andrew,,4,5
Queensborough/ Tunbridge,Queensborough/ Tunbridge,,18.040034,-76.825525,Saint Andrew,,4,5
Mountain View Gardens,Mountain View Gardens,,17.986107,-76.766835,Saint Andrew,,4,5
Zaidie Gardens,Zaidie Gardens,,18.024342,-76.815872,Saint Andrew,,4,5
Trafalgar Park,Trafalgar Park,,18.011311,-76.784866,Saint Andrew,,4,5
Washington Gardens,Washington Gardens,,18.023423,-76.844708,Saint Andrew,,4,5
Drumblair,Drumblair,,18.026377,-76.789688,Saint Andrew,,4,5
Waltham Gardens,Waltham Gardens,,18.01235,-76.813414,Saint Andrew,,4,5
Woodford Park,Woodford Park,,17.984875,-76.780538,Saint Andrew,,4,5
Papine,Papine,,18.011598,-76.736538,Saint Andrew,,4,5
Bloxborough,Bloxborough,,18.059877,-76.756397,Saint Andrew,,4,5
Parry Town,Parry Town,,18.39452,-77.109599,Saint Ann,,8,16
Hinds Town,Hinds Town,,18.348784,-77.239577,Saint Ann,,8,9
Exchange,Exchange,,18.408173,-77.069562,Saint Ann,,8,10
Steer Town,Steer Town,,18.413123,-77.162896,Saint Ann,,8,6
St. Ann's Bay,St. Ann's Bay,,18.432947,-77.1974,Saint Ann,,8,5
Priory,Priory,,18.439175,-77.224708,Saint Ann,,8,5
Discovery Bay,Discovery Bay,,18.458202,-77.39847,Saint Ann,,8,19
Browns Town,Browns Town,,18.389459,-77.372638,Saint Ann,,8,16
Philadelphia,Philadelphia,,18.39317,-77.31952,Saint Ann,,8,9
Macknie,Macknie,,18.192827,-77.250484,Saint Ann,,8,7
York Castle,York Castle,,18.388052,-77.364536,Saint Ann,,8,11
Lime Hall,Lime Hall,,18.428506,-77.203429,Saint Ann,,8,5
Cole Gate,Cole Gate,,18.357073,-77.090049,Saint Ann,,8,9
Braeton,Braeton,,17.949508,-76.889391,Saint Catherine,,4,5
