Lat,Long,Name,Parish,Population
18.036775,-77.505284,Mandeville Proper,Manchester,9989.5
17.92865,-77.516319,Newport,Manchester,9989.5
17.993635100000002,-77.50747740000001,Knockpatrick,Manchester,9989.5
18.053520000000002,-77.5107955,New Green,Manchester,9989.5
18.056782000000002,-77.4716313,Royal Flat,Manchester,9989.5
18.1577304,-77.4572897,Part of Spaldings,Manchester,9989.5
18.2004437,-76.5004058,Snow Hill,Portland,4130.0
18.1712764,-76.44763209999999,Central Port Antonio,Portland,4130.0
18.1164768,-76.3344723,Windsor Forest,Portland,4130.0
18.1942695,-76.4756623,Norwich,Portland,4130.0
18.014149300000003,-76.7524087,Mona Heights,Saint Andrew,5854.5
18.021540100000003,-76.82066259999999,Seaward Pen,Saint Andrew,5854.5
17.9429207,-76.6672602,Bull Bay/ Seven Mile,Saint Andrew,5854.5
17.989284100000003,-76.8172184,Delacree Park/ Union Gardens,Saint Andrew,5854.5
18.006013199999998,-76.7471032,University,Saint Andrew,5854.5
17.952329100000004,-76.7192221,Harbour View,Saint Andrew,5854.5
18.058326,-76.85372,Red Hills (Rural),Saint Andrew,5854.5
18.0554552,-76.782702,Norbrook,Saint Andrew,5854.5
18.1279072,-76.8464094,Lawrence Tavern,Saint Andrew,5854.5
17.9954951,-76.8187557,Delacree Pen,Saint Andrew,5854.5
17.9675704,-76.80473719999999,Greenwich Town/ Newport West,Saint Andrew,5854.5
18.0104393,-76.829911,Tower Hill,Saint Andrew,5854.5
17.9857896,-76.8043355,Trench Town,Saint Andrew,5854.5
18.028568300000003,-76.84374559999999,Waterhouse,Saint Andrew,5854.5
18.0316384,-76.79095240000001,Grants Pen,Saint Andrew,5854.5
18.038067,-76.8092343,Whitehall,Saint Andrew,5854.5
18.051639399999996,-76.8115458,Havendale,Saint Andrew,5854.5
18.0256117,-76.7711626,Barbican,Saint Andrew,5854.5
18.0948578,-76.83532659999999,Cavaliers,Saint Andrew,5854.5
18.042897,-76.8075801,Roehampton,Saint Andrew,5854.5
17.9928319,-76.79063470000001,Cross Roads,Saint Andrew,5854.5
18.0295934,-76.82884890000001,Pembroke Hall,Saint Andrew,5854.5
18.0026187,-76.7956825,Kencot,Saint Andrew,5854.5
17.9898081,-76.77837480000001,Vineyard Town,Saint Andrew,5854.5
18.0145858,-76.74074909999999,Hope Tavern,Saint Andrew,5854.5
18.0240752,-76.8302515,Drewsland,Saint Andrew,5854.5
18.0077875,-76.76539240000001,Beverley Hills,Saint Andrew,5854.5
18.0317407,-76.83894129999999,Patrick City,Saint Andrew,5854.5
18.0147484,-76.7610647,Liguanea,Saint Andrew,5854.5
17.9939663,-76.7430993,Hermitage,Saint Andrew,5854.5
18.0123464,-76.7372819,Kintyre,Saint Andrew,5854.5
18.0202884,-76.8079418,Cassia Park,Saint Andrew,5854.5
18.030894600000003,-76.8256479,Three Oaks/ Glendale,Saint Andrew,5854.5
17.994700899999998,-76.8072196,Whitfield Town,Saint Andrew,5854.5
18.0434374,-76.7769324,Cherry Gardens,Saint Andrew,5854.5
18.002310100000003,-76.7920934,Half-Way-Tree,Saint Andrew,5854.5
18.062488000000002,-76.75845699999999,Boucher Park,Saint Andrew,5854.5
18.0127087,-76.8016686,Molynes Four Roads,Saint Andrew,5854.5
18.0186816,-76.74447359999999,Hope Pastures/ UTECH,Saint Andrew,5854.5
18.0154557,-76.7984452,Eastwood Park Gardens,Saint Andrew,5854.5
17.993023100000002,-76.7408666,August Town,Saint Andrew,5854.5
18.090160100000002,-76.8014512,Golden Spring,Saint Andrew,5854.5
18.0117678,-76.8230815,Cockburn Gardens,Saint Andrew,5854.5
18.0346081,-76.8173138,Molynes Gardens,Saint Andrew,5854.5
18.0296291,-76.85047440000001,Duhaney Park,Saint Andrew,5854.5
18.0356818,-76.79604309999999,Oaklands,Saint Andrew,5854.5
18.0314148,-76.81839520000001,Hughenden,Saint Andrew,5854.5
18.014310899999998,-76.80902640000001,Marverley,Saint Andrew,5854.5
18.0051643,-76.8115458,Richmond Park,Saint Andrew,5854.5
18.041663,-76.856527,Forest Hills/ Plantation Height,Saint Andrew,5854.5
17.986068600000003,-76.7978458,Jones Town,Saint Andrew,5854.5
56.1237904,-3.947428,Red Hills/ Sterling Castle,Saint Andrew,5854.5
18.0369734,-76.824646,Arlene Gardens,Saint Andrew,5854.5
18.040034,-76.825525,Queensborough/ Tunbridge,Saint Andrew,5854.5
17.986107399999998,-76.766835,Mountain View Gardens,Saint Andrew,5854.5
18.024342100000002,-76.8158718,Zaidie Gardens,Saint Andrew,5854.5
18.011311199999998,-76.78486550000001,Trafalgar Park,Saint Andrew,5854.5
18.023422600000004,-76.844708,Washington Gardens,Saint Andrew,5854.5
18.0263767,-76.7896877,Drumblair,Saint Andrew,5854.5
18.01235,-76.813414,Waltham Gardens,Saint Andrew,5854.5
17.9848754,-76.78053840000001,Woodford Park,Saint Andrew,5854.5
18.0115978,-76.736538,Papine,Saint Andrew,5854.5
18.059877,-76.75639699999999,Bloxborough,Saint Andrew,5854.5
18.3945198,-77.1095985,Parry Town,Saint Ann,4601.2
18.458202,-77.39847040000001,Discovery Bay,Saint Ann,4601.2
18.3894586,-77.3726379,Browns Town,Saint Ann,4601.2
18.192826899999996,-77.2504835,Macknie,Saint Ann,4601.2
18.348784,-77.239577,Hinds Town,Saint Ann,4601.2
18.4081733,-77.0695623,Exchange,Saint Ann,4601.2
18.413122899999998,-77.16289590000001,Steer Town,Saint Ann,4601.2
18.4329473,-77.19739969999999,St. Ann's Bay,Saint Ann,4601.2
18.439175199999998,-77.22470809999999,Priory,Saint Ann,4601.2
18.3931702,-77.3195196,Philadelphia,Saint Ann,4601.2
18.3880521,-77.3645357,York Castle,Saint Ann,4601.2
18.4285057,-77.2034286,Lime Hall,Saint Ann,4601.2
18.3570732,-77.0900489,Cole Gate,Saint Ann,4601.2
17.9495083,-76.8893907,Braeton,Saint Catherine,22656.363636363636
18.0193171,-76.97582740000001,Spanish Town Central,Saint Catherine,22656.363636363636
17.982700199999996,-76.97150699999999,Cromarty,Saint Catherine,22656.363636363636
17.8979127,-76.8940743,Hellshire,Saint Catherine,22656.363636363636
17.947979999999998,-76.9095647,Greater Portmore,Saint Catherine,22656.363636363636
18.1057667,-77.00750550000001,Bogwalk,Saint Catherine,22656.363636363636
18.002844600000003,-76.9686267,Hampton Green,Saint Catherine,22656.363636363636
18.093398399999998,-76.9756667,Sligoville,Saint Catherine,22656.363636363636
17.9962367,-76.9451717,Greendale,Saint Catherine,22656.363636363636
18.0119455,-76.96358590000001,Ensom,Saint Catherine,22656.363636363636
17.9680932,-76.88506729999999,Naggo Head,Saint Catherine,22656.363636363636
17.995106,-76.9830277,Willowdene,Saint Catherine,22656.363636363636
18.022517999999998,-76.97842729999999,Golden Acres,Saint Catherine,22656.363636363636
17.9618897,-76.87930250000001,Bridgeport,Saint Catherine,22656.363636363636
17.9986932,-76.88650849999999,Gregory Park,Saint Catherine,22656.363636363636
17.980317899999996,-76.9989257,Old Harbour Road,Saint Catherine,22656.363636363636
18.000664,-76.9153281,Central Village,Saint Catherine,22656.363636363636
18.018147600000002,-77.0523088,Kitson Town,Saint Catherine,22656.363636363636
17.9874402,-76.8706548,Waterford,Saint Catherine,22656.363636363636
18.018513100000003,-76.9427006,Keystone,Saint Catherine,22656.363636363636
18.005143,-76.96690600000001,St. John's East,Saint Catherine,22656.363636363636
18.208966500000002,-76.92253199999999,Troja,Saint Catherine,22656.363636363636
18.0087965,-77.0036797,Crescent,Saint Catherine,22656.363636363636
18.0044324,-77.0348573,St. John's West,Saint Catherine,22656.363636363636
17.9766103,-76.8821849,Cumberland,Saint Catherine,22656.363636363636
17.9812357,-76.86488929999999,Passage Fort,Saint Catherine,22656.363636363636
17.9642027,-76.8706548,Edgewater,Saint Catherine,22656.363636363636
17.9821476,-76.881187,Independence City,Saint Catherine,22656.363636363636
18.141852399999998,-76.887229,Glengoffe,Saint Catherine,22656.363636363636
17.8817491,-77.75951309999999,Treasure Beach,Saint Elizabeth,3163.8
17.9370657,-77.7137306,Bigwoods,Saint Elizabeth,3163.8
18.1734634,-77.7253532,Thornton,Saint Elizabeth,3163.8
18.0466563,-77.78811759999999,Slipe,Saint Elizabeth,3163.8
17.9313337,-77.6469553,Rose Hall,Saint Elizabeth,3163.8
17.899982,-77.604711,Junction,Saint Elizabeth,3163.8
18.2044462,-77.8796168,Pisgah,Saint Elizabeth,3163.8
18.0802709,-77.647368,Braes River,Saint Elizabeth,3163.8
18.0788461,-77.6994197,Goshen,Saint Elizabeth,3163.8
17.897222199999998,-77.6130556,Ballards  Valley,Saint Elizabeth,3163.8
17.8917176,-77.7283314,Pedro Plains,Saint Elizabeth,3163.8
17.9357048,-77.76094350000001,Watchwell,Saint Elizabeth,3163.8
18.018348800000002,-77.69011970000001,Leeds,Saint Elizabeth,3163.8
18.1114085,-77.8608464,Giddy Hall,Saint Elizabeth,3163.8
18.050307999999998,-77.6407258,Pepper,Saint Elizabeth,3163.8
18.102018100000002,-77.8338693,Middle Quarters,Saint Elizabeth,3163.8
17.892578399999998,-77.63754159999999,Top Hill,Saint Elizabeth,3163.8
17.9416421,-77.5805844,Lititz,Saint Elizabeth,3163.8
17.884618300000003,-77.5950623,Bull Savannah,Saint Elizabeth,3163.8
18.198852,-77.7080064,Aberdeen,Saint Elizabeth,3163.8
17.9274272,-77.6296772,Red Bank,Saint Elizabeth,3163.8
18.065620300000003,-77.7578542,Holland,Saint Elizabeth,3163.8
42.3058807,-71.1169652,Brighton,Saint Elizabeth,3163.8
17.995202,-76.92589699999999,Hopeton,Saint Elizabeth,3163.8
42.3052107,-71.1087288,Newton,Saint Elizabeth,3163.8
18.4608841,-77.9253025,West Green,Saint James,26543.5
18.4612361,-77.9217448,Catherine Hall,Saint James,26543.5
18.4762228,-77.8938895,Rose Heights,Saint James,26543.5
18.4762228,-77.8938895,Down Town Montego Bay,Saint James,26543.5
18.4757728,-77.9110318,Brandon Hill,Saint James,26543.5
18.480122899999998,-77.9227906,Orange,Saint James,26543.5
18.4458592,-77.89817540000001,Granville,Saint James,26543.5
18.441495899999996,-77.9238557,Bogue,Saint James,26543.5
18.4420027,-77.8961572,Pitfour,Saint James,26543.5
18.4925672,-77.90276,Norwood,Saint James,26543.5
18.4668374,-77.9067467,Mount Salem,Saint James,26543.5
18.4821645,-77.918174,Albion,Saint James,26543.5
18.5042233,-77.89817540000001,Flankers,Saint James,26543.5
18.4480705,-77.97814770000001,Unity Hall,Saint James,26543.5
18.4224063,-77.7652602,Dumfries,Saint James,26543.5
18.4195715,-77.8524505,John's Hall,Saint James,26543.5
18.279485,-77.8738864,Catadupa,Saint James,26543.5
18.4298978,-77.78812140000001,Somerton,Saint James,26543.5
18.468335999999997,-77.89603249999999,Rose Mount Garden,Saint James,26543.5
18.5097282,-77.8016484,Barrett Town,Saint James,26543.5
18.4760043,-77.9220316,Paradise,Saint James,26543.5
18.5123897,-77.7766767,Lilliput,Saint James,26543.5
